Collar ID,Acq. Time [LMT],Acq. Time [UTC],SCTS [UTC],SCTS [LMT],Activity,Origin,Latitude[deg],Longitude[deg],Altitude[m],DOP,Fix Type,Easting,Northing,Mortality Status,Temp[°C],Main[V],Beacon [V]
48918,2023-07-19 22:00:37+08:00,2023-07-19 14:00:37,2023-07-19 16:01:10,2023-07-20 00:01:10+08:00,,Iridium,39.02171,97.31982,3421,2.2,3D Validated,354551,4320529,Nothing Detected,15,3.28,3.68
48918,2023-07-19 20:00:42+08:00,2023-07-19 12:00:42,2023-07-19 16:01:10,2023-07-20 00:01:10+08:00,,Iridium,39.02180,97.31973,3355,4,3D Validated,354542,4320539,Nothing Detected,19,3.28,3.68
48918,2023-07-19 18:00:37+08:00,2023-07-19 10:00:37,2023-07-19 16:01:10,2023-07-20 00:01:10+08:00,,Iridium,39.02184,97.31971,3350,2.4,3D Validated,354541,4320543,Nothing Detected,22,3.28,3.68
48918,2023-07-19 16:00:36+08:00,2023-07-19 08:00:36,2023-07-20 16:01:44,2023-07-21 00:01:44+08:00,,Iridium,39.02211,97.31955,3370,2.6,3D Validated,354528,4320573,Nothing Detected,21,3.28,3.68
48918,2023-07-19 14:00:55+08:00,2023-07-19 06:00:55,2023-07-20 16:01:44,2023-07-21 00:01:44+08:00,,Iridium,39.02245,97.31879,3434,6.4,3D Validated,354463,4320612,Nothing Detected,21,3.28,3.68
48918,2023-07-19 12:00:47+08:00,2023-07-19 04:00:47,2023-07-20 16:01:44,2023-07-21 00:01:44+08:00,,Iridium,39.02267,97.31883,3462,4.8,3D Validated,354467,4320636,Nothing Detected,18,3.28,3.68
48918,2023-07-19 10:00:39+08:00,2023-07-19 02:00:39,2023-07-20 16:01:44,2023-07-21 00:01:44+08:00,,Iridium,39.02181,97.31957,3348,2.8,3D Validated,354529,4320540,Nothing Detected,16,3.28,3.68
48918,2023-07-19 08:00:37+08:00,2023-07-19 00:00:37,2023-07-20 16:01:53,2023-07-21 00:01:53+08:00,,Iridium,39.02195,97.31956,3350,2,3D Validated,354528,4320556,Nothing Detected,15,3.28,3.68
48918,2023-07-19 06:00:42+08:00,2023-07-18 22:00:42,2023-07-20 16:01:53,2023-07-21 00:01:53+08:00,,Iridium,39.02186,97.31960,3346,2.2,3D Validated,354532,4320546,Nothing Detected,16,3.28,3.68
48918,2023-07-19 04:00:42+08:00,2023-07-18 20:00:42,2023-07-20 16:01:53,2023-07-21 00:01:53+08:00,,Iridium,39.02283,97.31861,3325,1.8,3D Validated,354448,4320655,Nothing Detected,18,3.28,3.68
48918,2023-07-19 02:00:36+08:00,2023-07-18 18:00:36,2023-07-20 16:01:53,2023-07-21 00:01:53+08:00,,Iridium,39.03007,97.32190,3098,1.8,3D Validated,354748,4321453,Nothing Detected,19,3.28,3.68
48918,2023-07-19 00:00:36+08:00,2023-07-18 16:00:36,2023-07-18 16:01:12,2023-07-19 00:01:12+08:00,,Iridium,39.02146,97.31885,3379,2.6,3D Validated,354466,4320502,Nothing Detected,19,3.28,3.68
48918,2023-07-18 22:00:38+08:00,2023-07-18 14:00:38,2023-07-18 16:01:12,2023-07-19 00:01:12+08:00,,Iridium,39.02191,97.31916,3349,1.4,3D Validated,354494,4320552,Nothing Detected,20,3.28,3.68
48918,2023-07-18 20:00:41+08:00,2023-07-18 12:00:41,2023-07-18 16:01:12,2023-07-19 00:01:12+08:00,,Iridium,39.02188,97.31938,3334,2.6,3D Validated,354513,4320548,Nothing Detected,17,3.28,3.68
48918,2023-07-18 18:00:37+08:00,2023-07-18 10:00:37,2023-07-18 16:01:12,2023-07-19 00:01:12+08:00,,Iridium,39.02187,97.31972,3348,2.2,3D Validated,354542,4320547,Nothing Detected,24,3.28,3.68
48918,2023-07-18 16:01:52+08:00,2023-07-18 08:01:52,2023-07-18 16:01:20,2023-07-19 00:01:20+08:00,,Iridium,39.02142,97.32001,3390,3.2,3D Validated,354567,4320497,Nothing Detected,20,3.28,3.68
48918,2023-07-18 14:00:44+08:00,2023-07-18 06:00:44,2023-07-18 16:01:20,2023-07-19 00:01:20+08:00,,Iridium,39.02158,97.32001,3394,5.2,3D Validated,354566,4320514,Nothing Detected,25,3.28,3.68
48918,2023-07-18 12:01:16+08:00,2023-07-18 04:01:16,2023-07-18 16:01:20,2023-07-19 00:01:20+08:00,,Iridium,39.02230,97.32033,3382,2.4,3D Validated,354596,4320593,Nothing Detected,21,3.28,3.68
48918,2023-07-18 10:00:37+08:00,2023-07-18 02:00:37,2023-07-18 16:01:20,2023-07-19 00:01:20+08:00,,Iridium,39.02200,97.31949,3333,3,3D Validated,354522,4320562,Nothing Detected,19,3.28,3.68
48918,2023-07-18 08:00:38+08:00,2023-07-18 00:00:38,2023-07-18 00:01:05,2023-07-18 08:01:05+08:00,,Iridium,39.02198,97.31946,3336,3.6,3D Validated,354520,4320559,Nothing Detected,16,3.28,3.68
48918,2023-07-18 06:00:38+08:00,2023-07-17 22:00:38,2023-07-18 00:01:05,2023-07-18 08:01:05+08:00,,Iridium,39.02195,97.31943,3343,3.8,3D Validated,354517,4320556,Nothing Detected,16,3.28,3.68
48918,2023-07-18 04:00:37+08:00,2023-07-17 20:00:37,2023-07-18 00:01:05,2023-07-18 08:01:05+08:00,,Iridium,39.02204,97.31949,3337,1.8,3D Validated,354522,4320566,Nothing Detected,17,3.28,3.68
48918,2023-07-18 02:00:42+08:00,2023-07-17 18:00:42,2023-07-18 00:01:05,2023-07-18 08:01:05+08:00,,Iridium,39.02201,97.31938,3348,3,3D Validated,354513,4320563,Nothing Detected,16,3.28,3.68
48918,2023-07-18 00:00:37+08:00,2023-07-17 16:00:37,2023-07-18 00:01:16,2023-07-18 08:01:16+08:00,,Iridium,39.02193,97.31943,3337,2.6,3D Validated,354518,4320554,Nothing Detected,19,3.28,3.68
48918,2023-07-17 22:00:42+08:00,2023-07-17 14:00:42,2023-07-18 00:01:16,2023-07-18 08:01:16+08:00,,Iridium,39.02196,97.31943,3339,2,3D Validated,354518,4320557,Nothing Detected,21,3.28,3.68
48918,2023-07-17 20:00:42+08:00,2023-07-17 12:00:42,2023-07-18 00:01:16,2023-07-18 08:01:16+08:00,,Iridium,39.02175,97.31971,3342,4,3D Validated,354541,4320533,Nothing Detected,25,3.28,3.68
48918,2023-07-17 18:03:00+08:00,2023-07-17 10:03:00,2023-07-18 00:01:16,2023-07-18 08:01:16+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,23,3.28,3.68
48918,2023-07-17 16:03:00+08:00,2023-07-17 08:03:00,2023-07-18 00:01:23,2023-07-18 08:01:23+08:00,,Iridium,,,,0,No Fix,,,Nothing Detected,22,3.28,3.68
48918,2023-07-17 14:02:54+08:00,2023-07-17 06:02:54,2023-07-18 00:01:23,2023-07-18 08:01:23+08:00,,Iridium,39.02146,97.32017,3424,6,3D Validated,354580,4320500,Nothing Detected,23,3.28,3.68
48918,2023-07-17 12:00:37+08:00,2023-07-17 04:00:37,2023-07-18 00:01:23,2023-07-18 08:01:23+08:00,,Iridium,39.02191,97.31973,3358,3.2,3D Validated,354543,4320552,Nothing Detected,22,3.28,3.68
48918,2023-07-17 10:00:38+08:00,2023-07-17 02:00:38,2023-07-18 00:01:23,2023-07-18 08:01:23+08:00,,Iridium,39.02300,97.32153,3352,3.2,3D Validated,354701,4320669,Nothing Detected,28,3.28,3.68
48918,2023-07-17 08:00:38+08:00,2023-07-17 00:00:38,2023-07-18 00:01:31,2023-07-18 08:01:31+08:00,,Iridium,39.01906,97.31334,3318,2,3D Validated,353984,4320245,Nothing Detected,15,3.28,3.68
48918,2023-07-17 06:00:38+08:00,2023-07-16 22:00:38,2023-07-18 00:01:31,2023-07-18 08:01:31+08:00,,Iridium,39.01598,97.31445,3526,2,3D Validated,354074,4319901,Nothing Detected,12,3.28,3.68
48918,2023-07-17 04:00:37+08:00,2023-07-16 20:00:37,2023-07-18 00:01:31,2023-07-18 08:01:31+08:00,,Iridium,39.01459,97.31598,3634,2.4,3D Validated,354203,4319745,Nothing Detected,12,3.28,3.68
